PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A84042,2096,1837,1812,1796,1358,1154,1537,559,0.266698473
A84043,16929,13964,13757,13583,10275,7010,13619,3310,0.195522476
A84044,7233,6070,5992,5932,4274,3523,5331,1902,0.262961427
A84045,5349,4609,4546,4493,3331,2908,3866,1483,0.277248084
A84047,5348,4507,4446,4384,3284,2720,3924,1424,0.266267764
A84604,2236,1947,1935,1923,1410,1312,1515,721,0.322450805
A84609,1668,1432,1419,1407,1111,978,1143,525,0.314748201
A84614,1952,1627,1603,1576,1138,862,1518,434,0.222336066
A84619,3773,3193,3164,3120,2272,1615,2985,788,0.208852372
A85001,7770,6435,6341,6266,4562,3170,6238,1532,0.197168597
A85002,4130,3555,3517,3482,2514,1893,3237,893,0.21622276
A85003,6191,5303,5232,5169,3602,3169,4470,1721,0.277984171
A85004,10691,8817,8712,8592,6169,4412,8522,2169,0.202880928
A85005,16688,13962,13812,13661,9699,5992,13868,2820,0.168983701
A85006,9414,7812,7715,7626,5487,3671,7687,1727,0.183450181
A85007,8156,6791,6727,6665,4833,3616,6316,1840,0.225600785
A85008,15905,13147,12995,12811,9106,6792,12348,3557,0.223640365
A85009,6117,5112,5055,4979,3399,2432,4988,1129,0.184567598
A85010,11296,9351,9254,9146,6626,4671,9034,2262,0.200247875
A85011,8006,6483,6389,6315,4512,2950,6572,1434,0.179115663
A85012,3428,2989,2963,2928,2161,1525,2728,700,0.2042007
A85013,3886,3399,3373,3353,2124,1283,3310,576,0.148224395
A85014,6815,5818,5755,5694,4113,3247,5156,1659,0.243433602
A85016,10963,8928,8805,8695,6173,4328,8864,2099,0.191462191
A85017,6463,4748,4581,4348,2587,1542,5729,734,0.11356955
A85018,5050,4198,4148,4101,2894,2208,3932,1118,0.221386139
A85019,10808,9125,9034,8959,6511,3941,9170,1638,0.151554404
A85020,15815,13451,13296,13166,9325,7730,11290,4525,0.286120771
A85021,3657,3079,3033,2927,1124,665,3328,329,0.089964452
A85023,5675,4744,4700,4650,3476,1781,4952,723,0.127400881
A85024,2448,2086,2061,2047,1462,1088,1889,559,0.228349673
A85026,4787,3883,3834,3794,2723,1759,4022,765,0.159807813
A85611,5279,4354,4294,4227,3139,1985,4439,840,0.159121046
A85614,5590,4961,4936,4900,2781,1405,4985,605,0.10822898
A85616,4621,3924,3880,3834,2771,2250,3457,1164,0.25189353
A85617,3436,2809,2761,2724,1991,1392,2797,639,0.185972061
A85620,3968,3242,3202,3169,2235,1679,3082,886,0.22328629
A86003,39075,36727,36622,36499,12909,5203,36889,2186,0.055943698
A86004,15807,12367,12204,12048,8530,4048,13982,1825,0.115455178
A86005,6144,5034,4977,4931,3490,2181,5106,1038,0.168945313
A86006,5489,4697,4657,4605,3337,2379,4310,1179,0.214793223
A86007,2889,2648,2627,2611,1490,763,2558,331,0.114572516
A86008,12864,10402,10261,10133,7466,4626,10779,2085,0.162080224
A86010,9907,8376,8309,8228,5712,2826,8699,1208,0.121933986
A86011,10882,8912,8795,8674,6171,4100,8985,1897,0.174324573
A86012,9839,7576,7454,7331,5055,2550,8750,1089,0.11068198
A86013,7380,5965,5897,5816,4060,3020,5888,1492,0.202168022
A86016,9469,7952,7837,7744,5724,3722,7704,1765,0.186397719
A86017,10345,8450,8364,8260,5862,3419,8903,1442,0.13939101
A86018,12844,10771,10613,10478,7624,5754,9788,3056,0.237932108
A86020,13260,11901,11808,11716,6836,4273,11251,2009,0.151508296
A86021,9726,7935,7828,7733,5238,3805,7695,2031,0.208821715
A86022,8677,7165,7068,6980,4996,3749,6716,1961,0.22599977
A86023,8782,7436,7350,7268,5049,3111,7360,1422,0.161922113
A86024,7489,6357,6281,6224,4004,2038,6650,839,0.112030979
A86025,14510,11318,11149,10995,7776,4876,12363,2147,0.147966919
A86026,6480,5307,5242,5184,3655,2705,5091,1389,0.214351852
A86027,16143,15754,15741,15702,4015,561,15969,174,0.010778666
A86028,4106,3405,3378,3345,2546,1640,3293,813,0.198002923
A86029,20379,17781,17628,17487,9363,5582,17825,2554,0.12532509
A86030,11447,9026,8895,8757,6371,3786,9850,1597,0.139512536
A86031,9626,7589,7474,7352,4978,2661,8519,1107,0.115001039
A86033,6049,4385,4334,4286,3306,1625,5318,731,0.120846421
A86035,2583,2149,2124,2097,1532,945,2137,446,0.172667441
A86036,10458,8424,8328,8228,6033,3241,8914,1544,0.147638172
A86037,6523,5037,4941,4843,3432,1717,5831,692,0.106086157
A86038,5695,4758,4710,4666,3338,2406,4495,1200,0.21071115
A86040,6785,5201,5102,5005,3565,1954,6027,758,0.111717023
A86041,6075,5040,4979,4921,3600,2283,4945,1130,0.18600823
A86601,8891,7288,7192,7084,5113,3565,7201,1690,0.190079856
A87002,5751,5024,4968,4920,3559,2850,4330,1421,0.247087463
A87003,10769,9179,9079,8986,6486,4830,8464,2305,0.214040301
A87004,18701,15447,15266,15088,10912,7573,14999,3702,0.197957328
A87005,12584,10527,10398,10274,7506,5751,9481,3103,0.246582962
A87006,5877,5060,5020,4973,3547,2906,4234,1643,0.279564404
A87007,18810,15495,15297,15109,11068,7581,15155,3655,0.194311536
A87008,7787,6065,5972,5883,4434,2948,6268,1519,0.195068704
A87009,15436,12752,12621,12460,9523,6220,12584,2852,0.184762892
A87011,6955,5726,5658,5574,4096,3159,5329,1626,0.233788641
A87012,7702,6399,6315,6258,4455,3399,5917,1785,0.231757985
A87013,9530,7724,7615,7515,5437,3642,7814,1716,0.180062959
A87015,5905,5041,4983,4930,3551,2780,4440,1465,0.248094835
A87016,10929,9033,8937,8834,6477,4197,8925,2004,0.183365358
A87017,5462,4663,4604,4543,3206,2594,3961,1501,0.274807763
A87019,5167,4350,4303,4248,3007,2286,4069,1098,0.212502419
A87020,9080,7567,7459,7357,5434,4101,7000,2080,0.22907489
A87022,8464,6648,6550,6464,4886,2660,7331,1133,0.133861059
A87023,4983,4061,3996,3929,2889,1948,4035,948,0.190246839
A87029,9320,7439,7338,7257,5312,2910,8030,1290,0.138412017
A87030,5605,4246,4167,4107,2986,1582,5025,580,0.103479037
A87600,4724,3908,3855,3786,2722,1984,3724,1000,0.211685013
A87612,5841,4705,4645,4584,3424,2294,4752,1089,0.186440678
A87615,5046,4012,3961,3910,2927,1854,4066,980,0.194213238
A88001,3527,2965,2938,2911,2090,1446,2817,710,0.201304225
