PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
B82628,0.484886026,4036,49.98909812,49.5482882,50.4040404,3544,3501,3462,2412,2351,2704,1332,0.878097126,0.867443013,0.85777998,0.597621407,0.582507433,0.669970268,0.330029732,Yes
L84025,0.486616478,4782,49.82538687,48.35195531,51.22199593,4126,4064,4019,2787,2696,3207,1575,0.862818904,0.849853618,0.840443329,0.58281054,0.563780845,0.6706399,0.3293601,Yes
P81037,0.478398983,9444,49.75476493,48.66644533,50.75294356,8147,8071,7976,5520,5288,6337,3107,0.862664125,0.854616688,0.844557391,0.584498094,0.559932232,0.671008047,0.328991953,Yes
G81087,0.493300477,6493,49.72647467,48.60536997,50.81793313,5648,5578,5516,3926,3765,4359,2134,0.869859849,0.859079008,0.849530263,0.604651163,0.579855229,0.671338364,0.328661636,Yes
B82063,0.477987421,8745,49.07135506,48.30311005,49.77480832,7530,7417,7328,5267,4875,5871,2874,0.861063465,0.848141795,0.837964551,0.602287021,0.557461407,0.67135506,0.32864494,Yes
B82078,0.494315373,6069,49.99044324,48.84766667,51.10752688,5366,5322,5264,3721,3484,4076,1993,0.884165431,0.876915472,0.867358708,0.613115835,0.57406492,0.67160982,0.32839018,Yes
N81001,0.498115578,4776,49.51423786,49.00588483,50.01877347,4135,4096,4049,2901,2688,3210,1566,0.86578727,0.857621441,0.84778057,0.60741206,0.56281407,0.672110553,0.327889447,Yes
P81092,0.488709294,8414,49.52959353,48.2655642,50.73779637,7398,7337,7264,4956,4638,5659,2755,0.879248871,0.871999049,0.863323033,0.589018303,0.55122415,0.672569527,0.327430473,Yes
P81077,0.477934527,11058,49.79128233,48.83027436,50.67105491,9609,9493,9387,6583,6208,7440,3618,0.868963646,0.858473503,0.848887683,0.595315609,0.561403509,0.672816061,0.327183939,Yes
C81070,0.4917668,4494,49.78771696,48.539819,50.99518389,3943,3893,3855,2560,2508,3024,1470,0.877392078,0.866266133,0.857810414,0.56964842,0.558077437,0.672897196,0.327102804,Yes
P81737,0.502318393,1941,50.78619268,49.00923077,52.57971014,1707,1696,1679,1174,1159,1307,634,0.879443586,0.873776404,0.865018032,0.604842865,0.597114889,0.673364245,0.326635755,Yes
L85019,0.493290109,13264,48.55277443,46.89500229,50.16664187,11585,11464,11370,7359,6995,8937,4327,0.873416767,0.864294331,0.857207479,0.554810012,0.52736731,0.673778649,0.326221351,Yes
A84032,0.485062241,2410,50.59211618,49.64670659,51.48267526,2118,2099,2083,1497,1430,1624,786,0.878838174,0.870954357,0.864315353,0.621161826,0.593360996,0.673858921,0.326141079,Yes
C83042,0.498690671,6110,49.36121113,49.07056121,49.6503428,5334,5273,5220,3762,3513,4120,1990,0.87299509,0.863011457,0.854337152,0.615711948,0.574959083,0.674304419,0.325695581,Yes
L82025,0.48443843,5173,49.69669437,48.29329609,51.01537308,4519,4476,4420,3158,2969,3489,1684,0.873574328,0.865261937,0.854436497,0.610477479,0.57394162,0.674463561,0.325536439,Yes
J81005,0.483301025,18055,48.96831903,47.7571625,50.10118984,15579,15415,15253,10798,9958,12200,5855,0.862863473,0.853780116,0.844807533,0.598061479,0.55153697,0.675713099,0.324286901,Yes
J83630,0.486880466,2401,49.39483549,47.63045338,51.06899351,2046,2029,2008,1440,1365,1623,778,0.85214494,0.845064556,0.836318201,0.599750104,0.56851312,0.675968347,0.324031653,Yes
D82057,0.477422833,7419,48.42283327,47.20186335,49.53830281,6381,6319,6265,4186,3945,5016,2403,0.860088961,0.851732039,0.84445343,0.564226985,0.531742822,0.676101901,0.323898099,Yes
F81741,0.489987218,11735,48.25990626,47.24608696,49.23391813,10168,10072,9963,6654,6341,7935,3800,0.866467831,0.858287175,0.848998722,0.56702173,0.540349382,0.67618236,0.32381764,Yes
J83060,0.480059714,4689,48.76348902,47.41581519,50.00779327,4023,3973,3917,2674,2606,3171,1518,0.857965451,0.847302197,0.835359352,0.570270847,0.555768821,0.676263596,0.323736404,Yes
D82600,0.515285996,2028,49.28698225,49.35885167,49.21057986,1763,1744,1729,1273,1157,1373,655,0.869329389,0.859960552,0.852564103,0.627712032,0.570512821,0.677021696,0.322978304,Yes
L83088,0.481757877,4824,48.74523217,47.7908778,49.6324,4156,4123,4074,2879,2644,3267,1557,0.861525705,0.854684909,0.844527363,0.596807629,0.548092869,0.677238806,0.322761194,Yes
A82647,0.482758621,2755,50.50998185,49.33684211,51.60491228,2446,2417,2387,1661,1630,1866,889,0.88784029,0.877313975,0.866424682,0.602903811,0.591651543,0.677313975,0.322686025,Yes
L82047,0.491038407,7030,49.45220484,48.0811124,50.77501397,6102,6028,5955,4292,4012,4763,2267,0.86799431,0.857467994,0.847083926,0.610526316,0.570697013,0.677524893,0.322475107,Yes
A84604,0.502683363,2236,49.64400716,48.91637011,50.3794964,1947,1935,1923,1410,1312,1515,721,0.870751342,0.865384615,0.860017889,0.63059034,0.586762075,0.677549195,0.322450805,Yes
J81057,0.489948574,6417,48.33847592,46.72391858,49.88939811,5525,5467,5413,3689,3344,4349,2068,0.860994234,0.851955743,0.843540595,0.574879227,0.521115786,0.677731027,0.322268973,Yes
F81052,0.473136078,14499,47.77350162,46.04475219,49.3259589,12273,12164,12047,7915,7660,9830,4669,0.84647217,0.838954411,0.830884889,0.545899717,0.528312297,0.677977792,0.322022208,Yes
Y01281,0.507713249,4408,49.29423775,48.17381591,50.44976959,3830,3784,3760,2519,2393,2989,1419,0.868874773,0.858439201,0.852994555,0.57146098,0.542876588,0.678085299,0.321914701,Yes
L85016,0.487327539,16453,48.8603902,47.68608132,49.97664493,14226,14079,13943,9671,8982,11169,5284,0.864644746,0.855710205,0.847444235,0.587795539,0.545918677,0.678842764,0.321157236,Yes
C83032,0.491500468,7471,48.36273591,47.55337691,49.14503817,6417,6335,6270,4398,4123,5072,2399,0.858921162,0.847945389,0.839245081,0.588676215,0.55186722,0.678891715,0.321108285,Yes
B82033,0.486294896,10580,49.04810964,48.36287658,49.69678013,9158,9060,8971,6287,5803,7183,3397,0.865595463,0.856332703,0.847920605,0.594234405,0.548487713,0.678922495,0.321077505,Yes
G82114,0.478572413,14514,48.45349318,47.1812554,49.62116808,12387,12248,12104,8159,7939,9856,4658,0.85345184,0.843874879,0.833953424,0.562146893,0.546989114,0.679068486,0.320931514,Yes
J81011,0.483862834,7932,48.26071609,47.05367379,49.39228139,6756,6686,6615,4589,4267,5390,2542,0.851739788,0.842914776,0.833963691,0.578542612,0.537947554,0.679525971,0.320474029,Yes
D83049,0.476418517,6891,49.0448411,46.42247944,51.4309867,5964,5904,5825,3994,3796,4683,2208,0.865476709,0.8567697,0.845305471,0.579596575,0.550863445,0.679582064,0.320417936,Yes
G82053,0.477643719,4227,48.60610362,47.92471521,49.22916667,3633,3595,3548,2453,2308,2874,1353,0.859474805,0.850484978,0.839365981,0.58031701,0.546013721,0.679914833,0.320085167,Yes
J82129,0.481127263,7842,49.19574088,47.66207262,50.61784222,6751,6678,6602,4563,4333,5332,2510,0.860877327,0.851568477,0.841877072,0.581866871,0.552537618,0.67992859,0.32007141,Yes
L83663,0.501360544,2940,49.20102041,48.05563094,50.3526603,2550,2513,2473,1738,1664,1999,941,0.867346939,0.854761905,0.841156463,0.591156463,0.565986395,0.679931973,0.320068027,Yes
J81647,0.493250417,6593,49.49719399,48.74907749,50.22538162,5699,5621,5542,3947,3809,4483,2110,0.864401638,0.852570909,0.840588503,0.598665251,0.57773396,0.679963598,0.320036402,Yes
G82147,0.492983029,6128,48.73302872,47.61072493,49.82426778,5274,5220,5170,3639,3405,4167,1961,0.860639687,0.851827676,0.843668407,0.593831593,0.555646214,0.679993473,0.320006527,Yes
